Year,Count
2001.0,2812809.0
2002.0,62912.0
2003.0,20316.0
2004.0,5271.0
2005.0,7478.0
2006.0,12289.0
2007.0,4586.0
2008.0,20184.0
2009.0,1316.0
2010.0,4760.0
2011.0,11597.0
2012.0,5512.0
2013.0,889.0
2014.0,1608.0
2015.0,240.0
2016.0,384.0
2058.0,2.0
2063.0,0.0
